DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,PRICE_CHANGE,PRICE_CHANGE_PCT,CREATED_AT
2025-12-24,AAPL,272.34,275.43,272.195,273.81,17910574,1.45,0.53,2026-01-11 11:52:30.837
2025-12-24,AAPL,272.34,275.43,272.195,273.81,17910574,1.45,0.53,2026-01-11 11:54:14.669
2025-12-26,AAPL,274.16,275.37,272.86,273.4,21521802,-0.41,-0.15,2026-01-11 11:52:30.837
2025-12-26,AAPL,274.16,275.37,272.86,273.4,21521802,-0.41,-0.15,2026-01-11 11:54:14.669
2025-12-29,AAPL,272.69,274.36,272.35,273.76,23715213,0.36,0.13,2026-01-11 11:52:30.837
2025-12-29,AAPL,272.69,274.36,272.35,273.76,23715213,0.36,0.13,2026-01-11 11:54:14.669
2025-12-30,AAPL,272.81,274.08,272.28,273.08,22139617,-0.68,-0.25,2026-01-11 11:52:30.837
2025-12-30,AAPL,272.81,274.08,272.28,273.08,22139617,-0.68,-0.25,2026-01-11 11:54:14.669
2025-12-31,AAPL,273.06,273.68,271.75,271.86,27293639,-1.22,-0.45,2026-01-11 11:52:30.837
2025-12-31,AAPL,273.06,273.68,271.75,271.86,27293639,-1.22,-0.45,2026-01-11 11:54:14.669
2026-01-02,AAPL,272.255,277.84,269,271.01,37838054,-0.85,-0.31,2026-01-11 11:54:14.669
2026-01-02,AAPL,272.255,277.84,269,271.01,37838054,-0.85,-0.31,2026-01-11 11:52:30.837
2026-01-05,AAPL,270.64,271.51,266.14,267.26,45647190,-3.75,-1.38,2026-01-11 11:52:30.837
2026-01-05,AAPL,270.64,271.51,266.14,267.26,45647190,-3.75,-1.38,2026-01-11 11:54:14.669
2026-01-06,AAPL,267,267.55,262.12,262.36,52352090,-4.9,-1.83,2026-01-11 11:52:30.837
2026-01-06,AAPL,267,267.55,262.12,262.36,52352090,-4.9,-1.83,2026-01-11 11:54:14.669
2026-01-07,AAPL,263.2,263.68,259.81,260.33,48309804,-2.03,-0.77,2026-01-11 11:54:14.669
2026-01-07,AAPL,263.2,263.68,259.81,260.33,48309804,-2.03,-0.77,2026-01-11 11:52:30.837
2026-01-08,AAPL,257.02,259.29,255.7,259.04,50419337,-1.29,-0.5,2026-01-11 11:54:14.669
2026-01-08,AAPL,257.02,259.29,255.7,259.04,50419337,-1.29,-0.5,2026-01-11 11:52:30.837
2026-01-09,AAPL,259.075,260.21,256.22,259.37,39996967,0.33,0.13,2026-01-11 11:52:30.837
2026-01-09,AAPL,259.075,260.21,256.22,259.37,39996967,0.33,0.13,2026-01-11 11:54:14.669
